"","pathwy.id","description","pvalues","Bonferroni","successes","PathwaySize","N","sample.size"
"30","R-HSA-162906","HIV Infection",2.539e-44,2.542e-41,105.85,239.29,603749.5,56814.09
"31","R-HSA-77595","Processing of Intronless Pre-mRNAs",3.631e-43,3.635e-40,67.83,102.58,603749.5,56814.09
"32","R-HSA-15869","Metabolism of nucleotides",9.583e-43,9.593e-40,280.23,1246.01,603749.5,56814.09
"33","R-HSA-163200","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",2.122e-40,2.124e-37,220,892.07,603749.5,56814.09
"34","R-HSA-6807505","RNA polymerase II transcribes snRNA genes",2.346e-40,2.348e-37,258.59,1136.34,603749.5,56814.09
"35","R-HSA-429914","Deadenylation-dependent mRNA decay",2.727e-39,2.73e-36,98.68,233.83,603749.5,56814.09
"36","R-HSA-1660499","Synthesis of PIPs at the plasma membrane",1.985e-38,1.987e-35,199.4,786,603749.5,56814.09
"37","R-HSA-2467813","Separation of Sister Chromatids",1.091e-36,1.092e-33,240.72,1070.94,603749.5,56814.09
"38","R-HSA-6811438","Intra-Golgi traffic",2.127e-36,2.129e-33,122.31,367.48,603749.5,56814.09
"39","R-HSA-8856828","Clathrin-mediated endocytosis",1.24e-33,1.241e-30,274.07,1352.81,603749.5,56814.09
"40","R-HSA-6811440","Retrograde transport at the Trans-Golgi-Network",2.846e-31,2.849e-28,147.7,553.3,603749.5,56814.09
"41","R-HSA-73817","Purine ribonucleoside monophosphate biosynthesis",7.501e-31,7.509e-28,45,66,603749.5,56814.09
"42","R-HSA-162587","HIV Life Cycle",1.16e-28,1.161e-25,64.54,141.27,603749.5,56814.09
"43","R-HSA-70326","Glucose metabolism",3.184e-28,3.187e-25,91.44,268.64,603749.5,56814.09
"44","R-HSA-379724","tRNA Aminoacylation",6.069e-28,6.075e-25,57,115.5,603749.5,56814.09
"45","R-HSA-168254","Influenza Infection",5.64e-27,5.646e-24,58.29,124.05,603749.5,56814.09
"46","R-HSA-159231","Transport of Mature mRNA Derived from an Intronless Transcript",3.698e-26,3.702e-23,38.28,55.84,603749.5,56814.09
"47","R-HSA-70263","Gluconeogenesis",7.946e-26,7.954e-23,101.25,342.09,603749.5,56814.09
"48","R-HSA-8854214","TBC/RABGAPs",7.943e-25,7.951e-22,149.71,645.28,603749.5,56814.09
"49","R-HSA-2262752","Cellular responses to stress",1.489e-24,1.49e-21,708.39,5133.31,603749.5,56814.09
"50","R-HSA-432722","Golgi Associated Vesicle Biogenesis",8.511e-24,8.52e-21,168.35,786.95,603749.5,56814.09
"51","R-HSA-71406","Pyruvate metabolism and Citric Acid (TCA) cycle",4.777e-23,4.782e-20,93.32,322.56,603749.5,56814.09
"52","R-HSA-6784531","tRNA processing in the nucleus",1.196e-22,1.197e-19,127.18,533.02,603749.5,56814.09
"53","R-HSA-429958","mRNA decay by 3' to 5' exoribonuclease",1.697e-21,1.699e-18,30.35,43,603749.5,56814.09
"54","R-HSA-8956320","Nucleobase biosynthesis",1.932e-21,1.934e-18,25.5,30,603749.5,56814.09
"55","R-HSA-68877","Mitotic Prometaphase",2.4e-20,2.402e-17,180.61,933.4,603749.5,56814.09
"56","R-HSA-5696394","DNA Damage Recognition in GG-NER",1.148e-19,1.149e-16,76.89,258.59,603749.5,56814.09
"57","R-HSA-168276","NS1 Mediated Effects on Host Pathways",2.057e-19,2.059e-16,54.72,145.76,603749.5,56814.09
"58","R-HSA-5663213","RHO GTPases Activate WASPs and WAVEs",2.382e-19,2.384e-16,59.72,171.49,603749.5,56814.09
"59","R-HSA-9007101","Rab regulation of trafficking",3.311e-19,3.314e-16,169.54,875.6,603749.5,56814.09
"60","R-HSA-8856688","Golgi-to-ER retrograde transport",1.2e-18,1.201e-15,112.83,491.46,603749.5,56814.09
"61","R-HSA-6803529","FGFR2 alternative splicing",3.69e-18,3.694e-15,49.98,129.5,603749.5,56814.09
"62","R-HSA-5389840","Mitochondrial translation elongation",6.524e-18,6.531e-15,33,63,603749.5,56814.09
"63","R-HSA-1483255","PI Metabolism",1.548e-17,1.55e-14,134.82,657.87,603749.5,56814.09
"64","R-HSA-176033","Interactions of Vpr with host cellular proteins",8.942e-17,8.951e-14,30.12,56.22,603749.5,56814.09
"65","R-HSA-1169410","Antiviral mechanism by IFN-stimulated genes",1.258e-16,1.259e-13,49.55,140.41,603749.5,56814.09
"66","R-HSA-68882","Mitotic Anaphase",2.019e-16,2.021e-13,61.95,204.89,603749.5,56814.09
"67","R-HSA-72187","mRNA 3'-end processing",2.412e-16,2.414e-13,24.96,36.68,603749.5,56814.09
"68","R-HSA-3700989","Transcriptional Regulation by TP53",2.5e-16,2.502e-13,720.1,5672.03,603749.5,56814.09
"69","R-HSA-2029482","Regulation of actin dynamics for phagocytic cup formation",2.643e-16,2.646e-13,59.58,194.89,603749.5,56814.09
"70","R-HSA-1236974","ER-Phagosome pathway",3.698e-16,3.702e-13,62.13,213.22,603749.5,56814.09
"71","R-HSA-450531","Regulation of mRNA stability by proteins that bind AU-rich elements",1.156e-15,1.157e-12,32.13,67.56,603749.5,56814.09
"72","R-HSA-3371556","Cellular response to heat stress",2.896e-14,2.899e-11,56.55,196.79,603749.5,56814.09
"73","R-HSA-6781823","Formation of TC-NER Pre-Incision Complex",6.613e-14,6.62e-11,39.48,109.35,603749.5,56814.09
"74","R-HSA-3299685","Detoxification of Reactive Oxygen Species",2.18e-13,2.182e-10,71.41,298.46,603749.5,56814.09
"75","R-HSA-532668","N-glycan trimming in the ER and Calnexin/Calreticulin cycle",2.19e-13,2.192e-10,35.91,92.56,603749.5,56814.09
"76","R-HSA-4615885","SUMOylation of DNA replication proteins",3.621e-13,3.625e-10,29.75,66.6,603749.5,56814.09
"77","R-HSA-5628897","TP53 Regulates Metabolic Genes",4.577e-13,4.582e-10,132.13,733.21,603749.5,56814.09
"78","R-HSA-211000","Gene Silencing by RNA",5.559e-13,5.565e-10,70.31,296.69,603749.5,56814.09
"79","R-HSA-77289","Mitochondrial Fatty Acid Beta-Oxidation",6.939e-13,6.946e-10,93.02,453.37,603749.5,56814.09
"80","R-HSA-162594","Early Phase of HIV Life Cycle",1.07e-12,1.071e-09,22.39,41.27,603749.5,56814.09
"81","R-HSA-5694530","Cargo concentration in the ER",1.273e-12,1.274e-09,23.02,45.2,603749.5,56814.09
"82","R-HSA-6804758","Regulation of TP53 Activity through Acetylation",1.675e-12,1.677e-09,28.66,66.1,603749.5,56814.09
"83","R-HSA-917729","Endosomal Sorting Complex Required For Transport (ESCRT)",7.016e-12,7.023e-09,24.45,51.71,603749.5,56814.09
"84","R-HSA-6796648","TP53 Regulates Transcription of DNA Repair Genes",1.238e-11,1.239e-08,51.7,194.75,603749.5,56814.09
"85","R-HSA-5620916","VxPx cargo-targeting to cilium",1.525e-11,1.527e-08,49.5,184,603749.5,56814.09
"86","R-HSA-437239","Recycling pathway of L1",1.79e-11,1.792e-08,38.09,121.67,603749.5,56814.09
"87","R-HSA-4570464","SUMOylation of RNA binding proteins",1.839e-11,1.841e-08,20.65,37.87,603749.5,56814.09
"88","R-HSA-68875","Mitotic Prophase",2.14e-11,2.142e-08,111.94,612.59,603749.5,56814.09
"89","R-HSA-68886","M Phase",1.309e-10,1.31e-07,223.28,1542.66,603749.5,56814.09
"90","R-HSA-1834949","Cytosolic sensors of pathogen-associated DNA ",1.887e-10,1.889e-07,44.04,165.77,603749.5,56814.09
"91","R-HSA-6790901","rRNA modification in the nucleus and cytosol",1.936e-10,1.938e-07,20.5,41.5,603749.5,56814.09
"92","R-HSA-948021","Transport to the Golgi and subsequent modification",3.249e-10,3.252e-07,174.64,1146.26,603749.5,56814.09
"93","R-HSA-72306","tRNA processing",3.751e-10,3.755e-07,109.51,626.81,603749.5,56814.09
"94","R-HSA-379726","Mitochondrial tRNA aminoacylation",3.797e-10,3.801e-07,28.5,79.75,603749.5,56814.09
"95","R-HSA-75153","Apoptotic execution phase",1.009e-09,1.01e-06,40.05,149.73,603749.5,56814.09
"96","R-HSA-74259","Purine catabolism",1.01e-09,1.011e-06,40.5,150.22,603749.5,56814.09
"97","R-HSA-9609507","Protein localization",4.354e-09,4.358e-06,154.25,1018.83,603749.5,56814.09
"98","R-HSA-8856825","Cargo recognition for clathrin-mediated endocytosis",5.141e-09,5.146e-06,251.39,1855.41,603749.5,56814.09
"99","R-HSA-77387","Insulin receptor recycling",1.028e-08,1.029e-05,59.08,288.35,603749.5,56814.09
"100","R-HSA-4420097","VEGFA-VEGFR2 Pathway",1.77e-08,1.772e-05,128.46,825.06,603749.5,56814.09
"101","R-HSA-74217","Purine salvage",1.997e-08,1.999e-05,24.5,72,603749.5,56814.09
"102","R-HSA-70221","Glycogen breakdown (glycogenolysis)",2.032e-08,2.034e-05,21.77,57,603749.5,56814.09
"103","R-HSA-77075","RNA Pol II CTD phosphorylation and interaction with CE",2.598e-08,2.601e-05,14.42,26.8,603749.5,56814.09
"104","R-HSA-2470946","Cohesin Loading onto Chromatin",2.665e-08,2.668e-05,9.36,10.52,603749.5,56814.09
"105","R-HSA-1834941","STING mediated induction of host immune responses",1.046e-07,0.0001047,10.57,14.86,603749.5,56814.09
"106","R-HSA-3781860","Diseases associated with N-glycosylation of proteins",3.872e-07,0.0003876,16.24,40.84,603749.5,56814.09
"107","R-HSA-5578749","Transcriptional regulation by small RNAs",4.008e-07,0.0004012,20.09,60.66,603749.5,56814.09
"108","R-HSA-429947","Deadenylation of mRNA",4.543e-07,0.0004548,26.86,95.21,603749.5,56814.09
"109","R-HSA-6811434","COPI-dependent Golgi-to-ER retrograde traffic",9.133e-07,0.0009142,125.21,860,603749.5,56814.09
